,task_name,task_index,session,contrast_id,feedback processing,interference resolution,motor planning,visual imagery,motor imagery,working memory maintenance,updating,mental arithmetic,semantic retrieval,sentence processing,expectation violation,narrative,theory of mind,autobiographical recall,emotion recognition,positive emotion,negative emotion,visual working memory,spatial selective attention,auditory tone discrimination,word generation,task switching,inhibition,phonological working memory
68,Visual Search (Med),24,a1,68,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
69,Visual Search (Med),24,a2,69,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
70,Visual Search (Med),24,b1,70,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
71,Visual Search (Med),24,b2,71,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
72,Visual Search (Hard),25,a1,72,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
73,Visual Search (Hard),25,a2,73,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
74,Visual Search (Hard),25,b1,74,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
75,Visual Search (Hard),25,b2,75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
76,Permuted Rules (CPRO),26,b1,76,1,1,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
77,Permuted Rules (CPRO),26,b2,77,1,1,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
78,Prediction (True),27,b1,78,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,Prediction (True),27,b2,79,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,Prediction (Violated),28,b1,80,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
81,Prediction (Violated),28,b2,81,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
82,Prediction (Scrambled),29,b1,82,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,Prediction (Scrambled),29,b2,83,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,Spatial Map (Easy),30,b1,84,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
85,Spatial Map (Easy),30,b2,85,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
86,Spatial Map (Med),31,b1,86,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
87,Spatial Map (Med),31,b2,87,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
88,Spatial Map (Hard),32,b1,88,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0
89,Spatial Map (Hard),32,b2,89,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0
90,Movie (Nature),33,b1,90,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
91,Movie (Nature),33,b2,91,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
92,Movie (Animated),34,b1,92,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
93,Movie (Animated),34,b2,93,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
94,Movie (Landscape),35,b1,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,Movie (Landscape),35,b2,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,Mental Rotation (Easy),36,b1,96,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,Mental Rotation (Easy),36,b2,97,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,Mental Rotation (Med),37,b1,98,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,Mental Rotation (Med),37,b2,99,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,Mental Rotation (Hard),38,b1,100,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,Mental Rotation (Hard),38,b2,101,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,Biological Motion,39,b1,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
103,Biological Motion,39,b2,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
104,Scrambled Motion,40,b1,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,Scrambled Motion,40,b2,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,Response Alt. (Easy),41,b1,106,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
107,Response Alt. (Easy),41,b2,107,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
108,Response Alt. (Med),42,b1,108,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
109,Response Alt. (Med),42,b2,109,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
110,Response Alt. (Hard),43,b1,110,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
111,Response Alt. (Hard),43,b2,111,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
